Submatrix Pattern,Noise,RF,Loss,Percent.of.Maximum.MI.per.RF,Which.Loss
2,0.4,2,5.567552,0.006404,Loss at 5 Epochs
2,0.4,2,5.372139,0.006404,Loss at 5 Epochs
2,0.4,2,5.319828,0.006404,Loss at 5 Epochs
2,0.4,2,5.536354,0.006404,Loss at 5 Epochs
2,0.4,4,5.483026,0.00145,Loss at 5 Epochs
2,0.4,4,5.464182,0.00145,Loss at 5 Epochs
2,0.4,4,5.477799,0.00145,Loss at 5 Epochs
2,0.4,4,5.544549,0.00145,Loss at 5 Epochs
2,0.4,4,5.475234,0.00145,Loss at 5 Epochs
2,0.4,4,5.518928,0.00145,Loss at 5 Epochs
2,0.4,4,5.48257,0.00145,Loss at 5 Epochs
2,0.4,4,5.523865,0.00145,Loss at 5 Epochs
2,0.4,4,5.42869,0.00145,Loss at 5 Epochs
2,0.4,4,5.531174,0.00145,Loss at 5 Epochs
2,0.4,8,5.556325,0.001013,Loss at 5 Epochs
2,0.4,8,5.556546,0.001013,Loss at 5 Epochs
2,0.4,8,5.565027,0.001013,Loss at 5 Epochs
2,0.4,8,5.585993,0.001013,Loss at 5 Epochs
2,0.4,8,5.567255,0.001013,Loss at 5 Epochs
2,0.4,8,5.570227,0.001013,Loss at 5 Epochs
2,0.4,8,5.566172,0.001013,Loss at 5 Epochs
2,0.4,8,5.593795,0.001013,Loss at 5 Epochs
2,0.4,8,5.568844,0.001013,Loss at 5 Epochs
2,0.4,8,5.561687,0.001013,Loss at 5 Epochs
4,0,2,0.085872,0.021835,Loss at 5 Epochs
4,0,2,0.056695,0.021835,Loss at 5 Epochs
4,0,2,0.139514,0.021835,Loss at 5 Epochs
4,0,2,0.101489,0.021835,Loss at 5 Epochs
4,0,2,0.109028,0.021835,Loss at 5 Epochs
4,0,2,0.062054,0.021835,Loss at 5 Epochs
4,0,2,0.05478,0.021835,Loss at 5 Epochs
4,0,2,0.127766,0.021835,Loss at 5 Epochs
4,0,2,0.232359,0.021835,Loss at 5 Epochs
4,0,2,0.120363,0.021835,Loss at 5 Epochs
4,0,4,0.104449,0.177213,Loss at 5 Epochs
4,0,4,0.155476,0.177213,Loss at 5 Epochs
4,0,4,0.095992,0.177213,Loss at 5 Epochs
4,0,4,1.333917,0.177213,Loss at 5 Epochs
4,0,4,0.114067,0.177213,Loss at 5 Epochs
4,0,4,0.16523,0.177213,Loss at 5 Epochs
4,0,4,0.079437,0.177213,Loss at 5 Epochs
4,0,4,0.093154,0.177213,Loss at 5 Epochs
4,0,4,0.1158,0.177213,Loss at 5 Epochs
