Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
8,2,0,0.24104,0.481759997,0.862320002,0.974480003,0.997120001,0.99968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,4,0,0.1288,0.27632,0.641199999,0.902400002,0.988160003,0.999360001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,8,0,0.08176,0.20224,0.473919999,0.667760004,0.774320001,0.85848,0.924240002,0.959680002,0.970160003,0.97848,0.980080001,0.986640001,0.986479999,0.99072,0.99176,0.99304,0.99664,0.99648,0.998160001,0.998560001,0.999120001,1,0.999280001,0.999280001,0.999440001
8,2,10,0.08848,0.247040001,0.516159998,0.76088,0.91856,0.967280008,0.985520006,0.992000004,0.993280004,0.995440003,0.997200002,0.997200003,0.998080002,0.998160001,0.998160002,0.998080002,0.998400001,0.998560001,0.998800001,0.998400002,0.998800001,0.998720001,0.998720001,0.998720001,0.998720001
8,4,10,0.05576,0.15312,0.3632,0.597919998,0.7692,0.889120003,0.942160004,0.970400008,0.984640007,0.990720007,0.992480006,0.994480005,0.995360004,0.995760004,0.996080004,0.997200003,0.997120003,0.997360003,0.997120003,0.997840002,0.997680002,0.997840002,0.997840002,0.998080002,0.998400002
8,8,10,0.02784,0.12528,0.3528,0.620159997,0.80056,0.927200003,0.973520003,0.992000005,0.996480003,0.998640001,0.998720001,0.999120001,0.99952,0.999360001,0.99984,0.99976,0.99976,0.99976,0.99984,0.99984,0.99984,0.99992,0.99992,0.99992,0.99992
8,2,20,0.031759999,0.09096,0.241840001,0.416879999,0.577759998,0.70808,0.771679999,0.825599998,0.852880001,0.87072,0.882400002,0.894720001,0.897440002,0.906400002,0.911200004,0.912480003,0.916400005,0.918720001,0.92344,0.926000005,0.926400003,0.929200005,0.929440004,0.930000004,0.933040004
8,4,20,0.02168,0.04424,0.1344,0.24584,0.370479999,0.480079999,0.570479998,0.65176,0.70608,0.748239997,0.774159998,0.796079999,0.815679998,0.827359997,0.838079997,0.841839999,0.854159998,0.861359999,0.86648,0.87072,0.87592,0.878320001,0.879679999,0.880560003,0.88352
8,8,20,0.01352,0.0392,0.18608,0.397519998,0.582720001,0.723599997,0.8252,0.885840001,0.913280005,0.938400006,0.952000007,0.958880008,0.970720005,0.973360006,0.976480007,0.978800006,0.982080006,0.981920006,0.982960005,0.984080005,0.984880005,0.985120007,0.986480006,0.987040007,0.988320005
8,2,30,0.00936,0.01952,0.05312,0.09192,0.1448,0.203600001,0.243680001,0.300640001,0.340320001,0.36632,0.395999999,0.410879998,0.425759999,0.443919999,0.453359998,0.461039997,0.471919998,0.477519997,0.485199998,0.491439999,0.491279998,0.502559999,0.498559998,0.502559998,0.504319999
8,4,30,0.00808,0.01152,0.0336,0.06432,0.09848,0.1332,0.17952,0.21112,0.2424,0.27224,0.300640001,0.320560001,0.333600001,0.358160001,0.362880001,0.369119998,0.38408,0.39448,0.401039998,0.408079998,0.416959999,0.416719999,0.421439997,0.428879998,0.433999997
8,8,30,0.00704,0.01384,0.05216,0.1296,0.237840001,0.337999998,0.426239998,0.497359996,0.555999998,0.607439999,0.649759999,0.680480002,0.706080001,0.728959999,0.74504,0.756240001,0.768159999,0.776079998,0.780319997,0.792559999,0.791679999,0.799439997,0.804719996,0.800319996,0.811279999
8,2,40,0.00472,0.00424,0.0076,0.01312,0.01632,0.02184,0.02552,0.03072,0.03376,0.03936,0.03832,0.0432,0.04496,0.0472,0.04848,0.047679999,0.05088,0.04968,0.05416,0.05504,0.0536,0.0564,0.05416,0.05384,0.05448
8,4,40,0.00472,0.00424,0.00472,0.00944,0.01096,0.01432,0.01584,0.01632,0.01968,0.02224,0.02168,0.02512,0.02616,0.027199999,0.02848,0.02952,0.02976,0.0308,0.03072,0.03336,0.03136,0.03112,0.03336,0.03272,0.03344
8,8,40,0.0052,0.00376,0.0056,0.00848,0.01672,0.02928,0.03928,0.04912,0.06152,0.07008,0.0772,0.08008,0.0888,0.09584,0.09688,0.102,0.11,0.1108,0.11416,0.1164,0.12024,0.12544,0.12816,0.12576,0.13096
8,2,50,0.0028,0.00216,0.00224,0.00216,0.00288,0.00312,0.0032,0.004,0.004,0.004,0.00328,0.00304,0.00248,0.00336,0.00312,0.00328,0.00328,0.0028,0.00296,0.0028,0.00312,0.00296,0.00312,0.00248,0.00256
8,4,50,0.00448,0.00296,0.00208,0.00216,0.00288,0.00368,0.0032,0.0036,0.0036,0.00336,0.00344,0.0028,0.00376,0.00376,0.00312,0.00344,0.0036,0.00288,0.0032,0.00296,0.00312,0.004,0.00344,0.00288,0.00272
8,8,50,0.00328,0.00224,0.002,0.00216,0.00264,0.0036,0.00336,0.00312,0.00288,0.00304,0.00336,0.0036,0.00408,0.00384,0.00432,0.00344,0.00408,0.00408,0.00416,0.00392,0.00376,0.00392,0.00424,0.00464,0.00408
