Submat,RF,Noise,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,4,30,5.520360973,5.451797704,5.255202415,4.974461661,4.6495927,4.287466845,3.907278086,3.533068995,3.183958081,2.879641137,2.616982651,2.399950784,2.210793494,2.055064242,1.92714227,1.818152156,1.722089308,1.641185044,1.573091691,1.518024557,1.4668236,1.421726457,1.378612306,1.351323773,1.3146907
2,8,30,5.53411779,5.496000811,5.398096638,5.237238585,5.059570342,4.877206068,4.703338199,4.547106028,4.413989801,4.301037014,4.2074117,4.125553074,4.062608537,4.011013011,3.970993222,3.936143235,3.905371904,3.880589111,3.858054467,3.845367635,3.829522719,3.81668954,3.803602992,3.798357698,3.78933805
2,2,40,5.536416136,5.51056203,5.461731423,5.38970774,5.306952639,5.21797582,5.122871126,5.035645863,4.954239199,4.884008225,4.82997378,4.788745467,4.753657321,4.727252606,4.712340721,4.714582808,4.713320111,4.713658078,4.729216231,4.74751239,4.752540565,4.775260343,4.788745315,4.819602141,4.841486662
2,4,40,5.542099667,5.532172499,5.509884131,5.466255371,5.413712107,5.361751444,5.315963648,5.275364114,5.244094404,5.226098897,5.216973551,5.218626035,5.226152188,5.243791617,5.253129143,5.278687172,5.307054667,5.332224868,5.358947195,5.391491275,5.425931187,5.455462009,5.489339402,5.531070254,5.563100784
2,8,40,5.543332541,5.538789551,5.529262119,5.510387502,5.485257005,5.463846332,5.448198945,5.441470841,5.439067622,5.442297778,5.449683785,5.460027391,5.472330346,5.484583744,5.497908927,5.510680638,5.524039167,5.538132883,5.548639499,5.55979028,5.570178922,5.58061398,5.589323813,5.598861445,5.608493448
2,2,50,5.553896972,5.554914887,5.561420361,5.573664469,5.595678573,5.631981906,5.680088529,5.741470994,5.823989508,5.922727011,6.031507846,6.158151072,6.297047385,6.441181514,6.592268502,6.743087505,6.898580439,7.056740972,7.216100471,7.377365617,7.530862703,7.688075887,7.847273553,8.003070214,8.158905876
2,4,50,5.54862205,5.548724233,5.551774676,5.558702639,5.571955039,5.594525321,5.629487125,5.67599353,5.732326362,5.799633764,5.874760564,5.95934859,6.044396172,6.133112184,6.225626398,6.31746766,6.411600714,6.504917869,6.592667579,6.684129656,6.77177952,6.856567696,6.945567703,7.023898655,7.114346379
2,8,50,5.545680593,5.546461645,5.548111621,5.552401561,5.560439832,5.574513412,5.594213459,5.620033111,5.648189839,5.680521763,5.715044019,5.749455908,5.783975466,5.817576898,5.85144108,5.884083908,5.914607276,5.945011996,5.974454979,6.002991349,6.02900368,6.053835651,6.080194602,6.101998528,6.126120833
4,2,0,4.812370351,3.202137289,1.268385616,0.291794441,0.094876757,0.051581262,0.034328434,0.02505827,0.019295396,0.015401608,0.012610957,0.010543336,0.008964149,0.007722715,0.006728414,0.005917989,0.005246824,0.004685918,0.004210039,0.003803113,0.003452164,0.003147726,0.002880747,0.002645974,0.002438059
4,4,0,5.165598965,4.006727912,1.943920961,0.473582329,0.135845892,0.068220084,0.043588915,0.030941346,0.023379546,0.018398611,0.014912195,0.012360666,0.010426114,0.008918171,0.007724815,0.006754314,0.00595334,0.005281648,0.004717374,0.004236558,0.003824184,0.00346622,0.003155846,0.002884355,0.002645673
